127.0.0.1 - - [15/Jul/2023:02:24:22 +0800] "GET / HTTP/1.1" 404 701
0:0:0:0:0:0:0:1 - - [15/Jul/2023:02:24:23 +0800] "GET /MeyBank_Assignment/MeyBank_Home/page/home.jsp HTTP/1.1" 200 2612
0:0:0:0:0:0:0:1 - - [15/Jul/2023:02:24:23 +0800] "GET /MeyBank_Assignment/assets/bootstrap.min.css HTTP/1.1" 200 140936
0:0:0:0:0:0:0:1 - - [15/Jul/2023:02:24:23 +0800] "GET /MeyBank_Assignment/MeyBank_Home/css/style.css HTTP/1.1" 200 11088
0:0:0:0:0:0:0:1 - - [15/Jul/2023:02:24:23 +0800] "GET /MeyBank_Assignment/image/meybank-logo.png HTTP/1.1" 200 43686
0:0:0:0:0:0:0:1 - - [15/Jul/2023:02:24:23 +0800] "GET /MeyBank_Assignment/image/infinite-loop-01.jpg HTTP/1.1" 200 152357
0:0:0:0:0:0:0:1 - - [15/Jul/2023:02:24:23 +0800] "GET /favicon.ico HTTP/1.1" 404 712
0:0:0:0:0:0:0:1 - - [15/Jul/2023:02:29:29 +0800] "GET /MeyBank_Assignment/MeyBank_Home/page/whatwedo.jsp HTTP/1.1" 200 15954
0:0:0:0:0:0:0:1 - - [15/Jul/2023:02:29:29 +0800] "GET /MeyBank_Assignment/assets/jquery-2.1.0.min.js HTTP/1.1" 200 83614
0:0:0:0:0:0:0:1 - - [15/Jul/2023:02:29:29 +0800] "GET /MeyBank_Assignment/MeyBank_Home/script/whatwedo.js HTTP/1.1" 200 813
0:0:0:0:0:0:0:1 - - [15/Jul/2023:02:29:29 +0800] "GET /MeyBank_Assignment/MeyBank_Home/page/assets/images/line-dec.png HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [15/Jul/2023:02:30:38 +0800] "GET /MeyBank_Assignment/MeyBank_Home/page/policy.jsp HTTP/1.1" 200 11309
0:0:0:0:0:0:0:1 - - [15/Jul/2023:02:30:38 +0800] "GET /MeyBank_Assignment/image/microsoft-light.svg HTTP/1.1" 404 753
0:0:0:0:0:0:0:1 - - [15/Jul/2023:02:30:38 +0800] "GET /MeyBank_Assignment/image/google-ads-light.svg HTTP/1.1" 404 754
0:0:0:0:0:0:0:1 - - [15/Jul/2023:02:30:38 +0800] "GET /MeyBank_Assignment/image/bing.svg HTTP/1.1" 200 1904
0:0:0:0:0:0:0:1 - - [15/Jul/2023:02:30:38 +0800] "GET /MeyBank_Assignment/image/facebook.svg HTTP/1.1" 200 2276
0:0:0:0:0:0:0:1 - - [15/Jul/2023:02:30:38 +0800] "GET /MeyBank_Assignment/image/admitad-light.svg HTTP/1.1" 404 751
